Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-02-01,141.3,143.95,139.2,142.75,769667
2022-02-02,143.8,146.95,142.45,145,692980
2022-02-03,145.2,145.95,143.1,144.3,314819
2022-02-04,143.7,144.75,139.9,139.9,534313
2022-02-07,140.85,142.2,138.8,139.5,456105
2022-02-08,139.7,143.95,139.4,143.1,592512
2022-02-09,143.1,146.4,142.8,145.65,653641
2022-02-10,148.15,152.75,147.35,152.4,1442758
2022-02-11,148,153.3,146.3,153.1,674863
2022-02-14,149.5,151.35,145.25,150.7,753898
2022-02-15,151,156.45,151,154,671752
2022-02-16,156,157.1,152.7,154.3,516036
2022-02-17,154.3,155,151,151.5,442881
2022-02-18,151.05,154.7,151.05,153.05,457066
2022-02-21,154.5,155.7,149.1,152.45,493400
2022-02-22,148.35,157.85,147.6,157.55,756339
2022-02-23,158.35,160.5,151,151,897156
2022-02-24,143.25,146.1,140.3,142.4,1104184
2022-02-25,147.5,158,146.4,155.7,1296274
2022-02-28,154,165.5,153.8,165.5,1524426
