Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-03-01,166.5,171.95,161.25,166.15,929882
2022-03-02,168,179.5,166.3,176.5,1312005
2022-03-03,179.5,182.5,173.7,176.25,1020778
2022-03-04,176.5,179.65,171.65,178.2,993029
2022-03-07,181.5,193.6,174.65,176.05,1946717
2022-03-08,182,182.55,171.2,173.2,749883
2022-03-09,177,177,168.65,170.15,658380
2022-03-10,169,182,167.6,178,1264292
2022-03-11,181.2,182.25,173.4,174.4,776717
2022-03-14,172,173.85,167.55,167.55,622250
2022-03-15,166.6,167.95,160.65,164.2,824748
2022-03-16,167.95,171.05,166.4,171.05,1225142
2022-03-17,173,176.45,170.1,176.45,683034
2022-03-18,176.3,178.35,170.3,171.15,1474981
2022-03-21,171.2,176.75,171.15,174.9,533970
2022-03-22,173,179.9,172.7,179.45,988102
2022-03-23,179.6,181.95,175.9,178.4,331331
2022-03-24,180,182.3,176.65,182.2,504793
2022-03-25,182,182.6,176,177.35,362602
2022-03-28,176,182.4,175.2,181.9,550563
2022-03-29,182,182.4,176.3,177,901232
2022-03-30,179.8,180.7,176.45,177.3,413036
2022-03-31,177,177.75,172.35,172.9,633065
