Data,Zamkniecie,priceIncreased
2/1/2022,142.75,0
2/2/2022,145,1
2/3/2022,144.3,0
2/4/2022,139.9,0
2/7/2022,139.5,0
2/8/2022,143.1,1
2/9/2022,145.65,1
2/10/2022,152.4,1
2/11/2022,153.1,1
2/14/2022,150.7,0
2/15/2022,154,1
2/16/2022,154.3,1
2/17/2022,151.5,0
2/18/2022,153.05,1
2/21/2022,152.45,0
2/22/2022,157.55,1
2/23/2022,151,0
2/24/2022,142.4,0
2/25/2022,155.7,1
2/28/2022,165.5,1
3/1/2022,166.15,1
3/2/2022,176.5,1
3/3/2022,176.25,0
3/4/2022,178.2,1
3/7/2022,176.05,0
3/8/2022,173.2,0
3/9/2022,170.15,0
3/10/2022,178,1
3/11/2022,174.4,0
3/14/2022,167.55,0
3/15/2022,164.2,0
3/16/2022,171.05,1
3/17/2022,176.45,1
3/18/2022,171.15,0
3/21/2022,174.9,1
3/22/2022,179.45,1
3/23/2022,178.4,0
3/24/2022,182.2,1
3/25/2022,177.35,0
3/28/2022,181.9,1
3/29/2022,177,0
3/30/2022,177.3,1
3/31/2022,172.9,0
