Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-02-01,71.5,72.34,70.9,71.72,708805
2022-02-02,72.1,73.12,70.86,71.3,1199609
2022-02-03,71.3,71.76,70.68,71.16,970018
2022-02-04,71.18,71.26,68.8,68.92,1264138
2022-02-07,69.48,69.9,67.26,68.5,1121303
2022-02-08,68.8,71.7,68.38,71.6,1356648
2022-02-09,72.06,73.8,71.18,73.26,1465555
2022-02-10,73.26,73.58,70.9,71.22,913266
2022-02-11,70.8,71.74,70.3,71.62,769598
2022-02-14,69.74,71.18,68.04,70.58,1225764
2022-02-15,71.22,73.3,71.14,73.28,1510492
2022-02-16,73.32,75.5,73.32,73.72,1402517
2022-02-17,73.5,73.56,71.18,71.78,888008
2022-02-18,71.74,72.3,70.88,70.96,666638
2022-02-21,71.48,72,67.62,68.12,866320
2022-02-22,66.6,69.98,65.14,69.7,1419253
2022-02-23,69.88,71.5,68.2,68.2,1113398
2022-02-24,64.92,65.9,61.14,62.96,2622289
2022-02-25,63.6,70.5,63.52,69.86,2512019
2022-02-28,68.46,71.7,67.2,71.06,2955226
