Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-03-01,71.2,75.12,71.2,73.02,1779885
2022-03-02,73.1,77.46,72.1,77.46,2649725
2022-03-03,79,81.2,77.84,79.1,2648605
2022-03-04,77.98,78.68,73.7,74.42,1920795
2022-03-07,73,78.6,73,77.7,2272369
2022-03-08,77.7,79.56,76.32,77.38,1492231
2022-03-09,79.12,79.96,73.1,74.04,1929725
2022-03-10,74.22,75.42,73.4,74.66,1292634
2022-03-11,74.66,77.8,74.2,77.6,1369221
2022-03-14,77.02,77.42,73.8,73.8,1759899
2022-03-15,74.2,75.74,73.4,75,1308018
2022-03-16,76.22,76.24,73.64,74.48,1367036
2022-03-17,75.2,76.84,74.7,76.64,1344922
2022-03-18,76.92,77.94,74.54,74.78,2437323
2022-03-21,74.92,78,74.9,78,921040
2022-03-22,78.1,78.46,76.92,78.04,999109
2022-03-23,78.5,79.16,77.76,78.96,678295
2022-03-24,78.96,79.2,76.72,78.24,887559
2022-03-25,78.24,78.96,76.82,77.66,897011
2022-03-28,76.8,78.66,76.62,77.36,806685
2022-03-29,77.98,78.04,74.66,75.5,1567267
2022-03-30,76.14,76.34,74.82,75.62,1171548
2022-03-31,75.82,77.12,75.5,76.02,1403260
